arxiv_id,title,summary_desc,authors
2601.17789,Neuro-Symbolic Verification on Instruction Following of LLMs,"The Neuro-Symbolic Verification for Instruction Following (NSVIF) framework addresses the challenge of ensuring that Large Language Models adhere to user instructions. NSVIF translates instruction following into a constraint satisfaction problem, applying both logical and semantic reasoning constraints on LLM outputs with help from its comprehensive solver unit. To validate effectiveness, VIFBENCH benchmark was developed providing detailed feedback labels for nuanced evaluation of verifiers like NSVIF. Experiments reveal that NSVIF significantly surpasses traditional large language model approaches in both performance and interpretability while offering actionable insights to enhance LLM behavior without additional post-training efforts.",Yiming Su; Kunzhao Xu; Yanjie Gao; Fan Yang; Cheng Li; Mao Yang; Tianyin Xu
2508.04530,Balancing Stylization and Truth via Disentangled Representation Steering,"The central innovation presented is StyliTruth, designed to mitigate the impact of style on truthfulness in language model outputs. By decomposing a representation space into orthogonal subspaces for style and factual content using an attention head-specific approach, it allows independent manipulation while minimizing interference between styles' injected signals. The method applies adaptive steering vectors at the token level within each dedicated subspace to control stylization with precision without sacrificing truthfulness—a significant reduction in style-induced collapses of answer correctness is achieved, demonstrating its effectiveness over current methods across various styles and languages through rigorous experiments.",Chenglei Shen; Zhongxiang Sun; Teng Shi; Xiao Zhang; Jun Xu
2510.06774,Adaptive LLM-Symbolic Reasoning via Dynamic Logical Solver Composition,"The central innovation presented is an adaptive neuro-symbolic inference framework that integrates with various formal logical solvers based on the natural language expressions of reasoning problems. To achieve this dynamic selection and application process during runtime rather than at design time, a novel autoformalization interface was developed alongside neural network models adept in predicting applicable formal strategies from textual problem descriptions accurately over 90 percent of the time. Extensive testing across individual and multi-paradigm tasks showed that this framework not only surpasses competitive baselines like GPT-4o by up to 27 percent but also enhances pure LLM approaches, yielding notable performance increases on zero-shot through symbolic CoT settings using the same language models. Moreover, even when deploying smaller model sizes which typically underperform in adaptive reasoning scenarios, post-",Lei Xu; Pierre Beckmann; Marco Valentino; André Freitas
2505.20869,Step-Wise Formal Verification for LLM-Based Mathematical Problem Solving,"The MATH-VF framework introduces a stepwise approach combining an LLM with specialized tools to verify and refine math problem-solving by large language models. The Formalizer translates natural language solutions into formal contexts, while the Critic assesses correctness using external systems like SMT solvers or Computer Algebra Systems. Crucially, MATH-VF provides not just verification; when errors are detected in LLM outputs for given problems on benchmarks such as MATH50term and ProcessBench, it suggests refinements back to the solution generator. Empirical testing shows that this method outperforms existing approaches by effectively catching logical reasoning mistakes common among language models tackling mathematical tasks.",Kuo Zhou; Lu Zhang
2506.22303,GraphRAG-Induced Dual Knowledge Structure Graphs for Personalized Learning Path Recommendation,"The paper presents GraphRAG-Induced Dual Knowledge Structure Graphs for Personalized Learning Path Recommendation (KnowLP), a novel approach to overcome the limitations of prerequisite relationship dependency and learning blockages in current methods. EDU-GraphRAG, introduced within this framework, dynamically construct knowledge concept structure graphs that adapt across educational datasets, enhancing generalizability. The Discrimination Learning-driven Reinforcement Learning (DLRL) module then addresses blocked paths by mitigating issues caused when learners encounter difficulties at a certain stage of their learning path. Extensive experiments on three benchmarks show state-of-the-art performance alongside interpretability in the recommended learning trajectories, underlining KnowLP's effectiveness and practical applicability for personalized education planning.",Xinghe Cheng; Zihan Zhang; Jiapu Wang; Liangda Fang; Chaobo He; Quanlong Guan; Shirui Pan; Weiqi Luo
2501.05435,Neuro-Symbolic AI in 2024: A Systematic Review,"The study provides an extensive review on Neuro-Symbolic AI's progress from 2020 to 2024. By following PRISMA methodology and searching through databases like IEEE Explore, Google Scholar, arXiv, ACM, and SpringerLink, the researchers aimed for comprehensive coverage of relevant peer-reviewed papers while ensuring reproducibility by filtering based on available code. From among 1,428 initially identified studies, only 167 met their stringent criteria concerning Neuro-Symbolic AI specifically in learning and inference mechanisms which accounted for the majority of research focus (63%), followed closely behind logic/reasoning at nearly a third (35%) and knowledge representation slightly lesser. The paper uncovers gaps, particularly highlighting explainability and",Brandon C. Colelough; William Regli
2602.21257,Structured Prompt Language: Declarative Context Management for LLMs,"The Structured Prompt Language (SPL) framework introduced a declarative SQL-inspired language targeting large language models and their context windows. It incorporates token management with explicit budget constraints, an automatic query optimizer for performance efficiency, EXPLAIN transparency paralleling SQL's capabilities, as well as native integration of retrieval-augmented generation (RAG) and persistent memory within a singular declarative structure. The SPL system extends to agentic pipelines with robust fallback strategies across different providers while maintaining full script visibility for user awareness. Demonstrated through various extensions, the framework shows versatility in translation of prompts between languages (Text2SPL), tailored model selection via Mixture-of-Models routing at runtime, and cost-effective logical document chunking that optimizes attention across",Wen G. Gong
2205.00445,"MRKL Systems: A modular, neuro-symbolic architecture that combines large language models, external knowledge sources and discrete reasoning","The MRKL system tackles limitations of current language models by integrating external knowledge sources and discrete reasoning into a neuro-symbolic framework. It introduces Modular Reasoning, Knowledge, and Language (MRKL) architecture that combines neural models with additional modules for handling explicit logic and structured information. A key result is the development of Jurassic-X, an MRKL system implementation which overcomes linguistic processing limitations while avoiding knowledge representation pitfalls common in previous attempts to augment language models. The paper also identifies technical challenges faced during this endeavor but suggests pathways for future research and improvement within neuro-symbolic AI architectures.",Ehud Karpas; Omri Abend; Yonatan Belinkov; Barak Lenz; Opher Lieber; Nir Ratner; Yoav Shoham; Hofit Bata; Yoav Levine; Kevin Leyton-Brown; Dor Muhlgay; Noam Rozen; Erez Schwartz; Gal Shachaf; Shai Shalev-Shwartz; Amnon Shashua; Moshe Tenenholtz
2310.03714,DSPy: Compiling Declarative Language Model Calls into Self-Improving Pipelines,"The DSPy programming model represents a significant advance toward systematic creation of language model pipelines by abstracting them into text transformation graphs. It enables the learning and optimization of prompt templates through demonstrations that are then compiled to maximize performance metrics, showing notable improvements over traditional methods without extensive manual tuning. The approach demonstrated effectiveness with GPT-3.5 and llama2-13b-chat by self-optimizing pipelines for math word problems and multi-hop retrieval tasks in mere minutes after compiling DSPy programs consisting of just a few lines, outperforming standard prompts or expert demonstrations significantly.",Omar Khattab; Arnav Singhvi; Paridhi Maheshwari; Zhiyuan Zhang; Keshav Santhanam; Sri Vardhamanan; Saiful Haq; Ashutosh Sharma; Thomas T. Joshi; Hanna Moazam; Heather Miller; Matei Zaharia; Christopher Potts
2510.21425,Advancing Symbolic Integration in Large Language Models: Beyond Conventional Neurosymbolic AI,"The central study addresses how to improve transparency within Large Language Models (LLMs) by integrating symbolic reasoning. It scrutinizes existing Neurosymbolic AI methods and introduces a new taxonomy for embedding symbolic logic into LLM frameworks, proposing distinct categories based on integration stages, coupling mechanisms, architectures, algorithms, and applications to fill the knowledge gap in transparency enhancement literature. The research identifies benchmarks, innovations, and critical gaps within this niche area, ultimately offering a detailed roadmap for future investigative work aimed at facilitating symbolic integration into LLMs as an approach toward more transparent AI responses. Key contributions include the differentiation of existing NeSy approaches ineffective against unique traits of LLMs and laying out strategies to systematically incorporate trans",Maneeha Rani; Bhupesh Kumar Mishra; Dhavalkumar Thakker
2510.25975,SymCode: A Neurosymbolic Approach to Mathematical Reasoning via Verifiable Code Generation,"The paper introduces SymCode, a neurosymbolic system that transforms mathematical reasoning into verifiable code generation using Python'them SymPy library. The framework demonstrates significant accuracy on the MATH-500 and OlympiadBench benchmarks compared to baselines by up to 13.6 percentage points in precision. Notably, it shifts error sources from logical fallacies—common with LLM outputs—to programmatic errors that can be detected using deterministic symbolic engines like SymPy. The approach indicates a potential path towards more reliable mathematical reasoning within AI systems by linking language models to formal verification processes.",Sina Bagheri Nezhad; Yao Li; Ameeta Agrawal
2310.15164,LINC: A Neurosymbolic Approach for Logical Reasoning by Combining Language Models with First-Order Logic Provers,"The LINC model introduces a neurosymbolic approach that combines language models with first-order logic to enhance logical reasoning in AI. By translating natural language arguments into formal expressions and processing them through an external theorem prover, it effectively performs deductive inference tasks where traditional prompting strategies fall short. Results demonstrate significant performance improvements over LLMs alone on the FOLIO benchmark for various models, including a substantial lead of 38% to 10% when augmented with LINC in StarCoder+ compared to GPT-based methods like CoT and even outperforming larger models such as GPT-4. This research suggests that integrating symbolic processing can complement LLMs' capabilities, offering a promising direction for tackling complex logical reasoning tasks over natural language inputs within AI systems. The code is available on GitHub",Theo X. Olausson; Alex Gu; Benjamin Lipkin; Cedegao E. Zhang; Armando Solar-Lezama; Joshua B. Tenenbaum; Roger Levy
2305.12295,Logic-LM: Empowering Large Language Models with Symbolic Solvers for Faithful Logical Reasoning,"The primary innovation presented is a framework called Logic-LM that synergizes Large Language Models (LLMs) with symbolic solvers to enhance LLM's reasoning capabilities in logical tasks. The approach employs an initial translation of natural language into logic formulations, followed by deterministic inference using the symbolic solver and a self-refinement process that iteratively improves these formalizations based on error messages from subsequent inferences. This dual mechanism significantly outperformed standard LLM methods in logical problem solving across various datasets with an average performance increase of 39.2%, emphasizing Logic-LM's potential for faithful reasoning applications. The findings suggest that integrating symbolic logic into language models can markedly advance their ability to tackle complex logical problems, which has been demonstrated through extensive testing on multiple benchmarking sets.",Liangming Pan; Alon Albalak; Xinyi Wang; William Yang Wang
2302.04761,Toolformer: Language Models Can Teach Themselves to Use Tools,"The main contribution of this arXiv paper is the development of Toolformer, a self-supervised model that enables language models to effectively utilize external APIs. The researchers demonstrate how Toolformer can decide when and what function calls from diverse tools are necessary, along with processing their results for ensuing tasks efficiently. Importantly, they showcase its competitive performance on various tasks without detracting from the underlying LM capabilities. Key findings include substantial zero-shot improvements across different domains by leveraging simple demonstrations to teach Toolformer about API interactions and result integration strategies. This approach significantly augments traditional language models' functionalities with external knowledge sources, thereby pushing forward the state of hybrid AI systems that combine internal reasoning abilities with practical tool usage skills.",Timo Schick; Jane Dwivedi-Yu; Roberto Dessì; Roberta Raileanu; Maria Lomeli; Luke Zettlemoyer; Nicola Cancedda; Thomas Scialom
2411.12763,Education in the Era of Neurosymbolic AI,"The primary contribution from this study is a hybrid NAI architecture that incorporates pedagogical agents to personalize learning experiences at scale. These AI-driven characters can engage in meaningful interactions with learners—simulating discussions, debates, and problem-solving activities tailored to individual needs based on their pace of learning and foundational knowledge gaps. The system demonstrates its efficacy by showing how it promotes deeper understanding over rote memorization among students using the NAI framework for education enhancement. Preliminary findings suggest that this approach can make personalized educational experiences more accessible, equitable, and practical in real-world skills learning contexts.",Chris Davis Jaldi; Eleni Ilkou; Noah Schroeder; Cogan Shimizu
2601.08402,PATS: Personality-Aware Teaching Strategies with Large Language Model Tutors,"The central advancement presented by PATS is a novel approach to integrating student personality traits with large language model tutors. By creating an intersection between pedagogical methods and personalities through meticulously crafted taxonomies, the researchers enable LLMs to adapt their teaching strategies in dialogue simulations reflective of individual students’ character profiles. Human teacher preferences were consistently aligned more towards this tailored tutoring method when compared against two baselines used for evaluation purposes. Remarkably, it also encouraged an uptick in employing less frequent yet high-impact strategies like role-playing sessions among both human and LLM tutors during interactions with students of differing personality types. The outcomes indicate a significant leap forward towards personalized educational tools utilizing large language models, promising enhanced learning experiences for",Donya Rooein; Sankalan Pal Chowdhury; Mariia Eremeeva; Yuan Qin; Debora Nozza; Mrinmaya Sachan; Dirk Hovy
2210.03629,ReAct: Synergizing Reasoning and Acting in Language Models,"The ReAct paper presents an approach that integrates reasoning with acting capabilities within language models to enhance interaction and decision-making processes in task execution. It introduces a method where LLMs simultaneously produce chains of thought for generating actions while using these plans to gather information externally, leading to synergistic benefits like error mitigation through exception handling. ReAct notably surpasses the performance of chain-of-thought prompting baselines on language tasks by leveraging a Wikipedia API interaction in reducing hallucinations and enhancing interpretability for human users. On interactive decision making benchmarks, it achieves significant success rates over imitation learning methods with minimal contextual examples provided during prompting phases. The effective demonstration of ReAct's methodology underscs that the combination of reasoning traces and task-specific actions can substantially improve language models’",Shunyu Yao; Jeffrey Zhao; Dian Yu; Nan Du; Izhak Shafran; Karthik Narasimhan; Yuan Cao
